"filename", "language", "JavaScript", "JavaScript JSX", "Markdown", "JSON", "Prisma", "JSON with Comments", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\Kiketdule\Kiki\Codage\Formation Rocket\velo-expresso-front\lib\connect.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Kiketdule\Kiki\Codage\Formation Rocket\velo-expresso-front\lib\frames.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 2, 49
"c:\Users\Kiketdule\Kiki\Codage\Formation Rocket\velo-expresso-front\lib\meca.js", "JavaScript", 99, 0, 0, 0, 0, 0, 0, 0, 0, 2, 101
"c:\Users\Kiketdule\Kiki\Codage\Formation Rocket\velo-expresso-front\lib\navlinks.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 2, 3, 28
"c:\Users\Kiketdule\Kiki\Codage\Formation Rocket\velo-expresso-front\lib\opinions.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"c:\Users\Kiketdule\Kiki\Codage\Formation Rocket\velo-expresso-front\lib\rental.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 2, 36
"c:\Users\Kiketdule\Kiki\Codage\Formation Rocket\velo-expresso-front\lib\slider.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 5, 4, 27
"c:\Users\Kiketdule\Kiki\Codage\Formation Rocket\velo-expresso-front\next.config.mjs", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 1, 2, 18
"c:\Users\Kiketdule\Kiki\Codage\Formation Rocket\velo-expresso-front\package-lock.json", "JSON", 0, 0, 0, 5297, 0, 0, 0, 0, 0, 1, 5298
"c:\Users\Kiketdule\Kiki\Codage\Formation Rocket\velo-expresso-front\package.json", "JSON", 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"c:\Users\Kiketdule\Kiki\Codage\Formation Rocket\velo-expresso-front\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Kiketdule\Kiki\Codage\Formation Rocket\velo-expresso-front\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 16, 0, 0, 0, 5, 6, 27
"c:\Users\Kiketdule\Kiki\Codage\Formation Rocket\velo-expresso-front\providers\query-provider.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Kiketdule\Kiki\Codage\Formation Rocket\velo-expresso-front\tailwind.config.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 1, 1, 23
"Total", "-", 595, 1285, 0, 5331, 16, 10, 160, 155, 67, 238, 7857
